99	ZINC00001910	FEFFZKPQSVTBAY-UHFFFAOYSA-O	Fc1ccc(cc1)C(=O)CCC[NH+]1CCC(CC1)(O)c1ccccc1
100	ZINC00001931	IZRPKIZLIFYYKR-UHFFFAOYSA-O	C[NH+](CCOc1ccccc1Cc1ccccc1)C
101	ZINC00001963	SZRPDCCEHVWOJX-UHFFFAOYSA-M	[O-]C(=O)CSc1nc(cc(n1)Cl)Nc1cccc(c1C)C
102	ZINC00001965	OQGWJZOWLHWFME-UHFFFAOYSA-N	CCc1[nH]c(=O)[nH]c1C(=O)c1ccncc1
103	ZINC00001982	DBABZHXKTCFAPX-UHFFFAOYSA-M	CCCN(S(=O)(=O)c1ccc(cc1)C(=O)[O-])CCC
104	ZINC00001984	MQOBSOSZFYZQOK-UHFFFAOYSA-M	Clc1ccc(cc1)C(=O)c1ccc(cc1)OC(C(=O)[O-])(C)C
105	ZINC00001995	JTIGKVIOEQASGT-UHFFFAOYSA-N	Cc1ccc2c(c1)n(C(C)C)c(=O)nc2c1ccccc1
106	ZINC00002002	YECBIJXISLIIDS-UHFFFAOYSA-P	COc1ccc(cc1)CN(c1cccc[nH+]1)CC[NH+](C)C
107	ZINC00002009	RVOLLAQWKVFTGE-UHFFFAOYSA-N	C[n+]1cccc(c1)OC(=O)N(C)C
108	ZINC00002028	GHMLBKRAJCXXBS-UHFFFAOYSA-N	Oc1cccc(c1)O
109	ZINC00002041	UHSKFQJFRQCDBE-UHFFFAOYSA-O	CCC[NH+](CCC)CCc1cccc2c1CC(=O)N2
110	ZINC00002070	LXANPKRCLVQAOG-NSHDSACASA-N	Fc1cc2[C@]3(CCOc2cc1)NC(=O)NC3=O
111	ZINC00002101	FDDDEECHVMSUSB-UHFFFAOYSA-N	Nc1ccc(cc1)S(=O)(=O)N
112	ZINC00002110	UJNDLZYLCRUOGS-UHFFFAOYSA-N	Nc1ccc(cc1)S(=O)(=O)[N-]c1noc(c1C)C
113	ZINC00002119	HMHVCUVYZFYAJI-UHFFFAOYSA-N	O=S1(=O)CCCCN1c1ccc(cc1)S(=O)(=O)N
114	ZINC00002131	JUZZEWSCNBCFRL-UHFFFAOYSA-O	C1CC[NH+](CC1)C1(CCCCC1)c1cccs1
115	ZINC00002139	NFIXBCVWIPOYCD-UHFFFAOYSA-O	CC[NH+](CCOc1ccc(cc1)Cc1ccccc1)CC
116	ZINC00002152	VXCONGLPCAPYEU-UHFFFAOYSA-N	OCCc1sc(=O)n(c1C)Cc1cnc(nc1N)C
117	ZINC00002191	UPSPUYADGBWSHF-UHFFFAOYSA-M	[O-]C(=O)Cc1ccc(n1C)C(=O)c1ccc(cc1)C
118	ZINC00002200	TVYLLZQTGLZFBW-GOEBONIOSA-O	COc1cccc(c1)[C@]1(O)CCCC[C@H]1C[NH+](C)C
119	ZINC00002212	JOFWLTCLBGQGBO-UHFFFAOYSA-N	Clc1ccc2c(c1)C(=NCc1n2c(C)nn1)c1ccccc1Cl
120	ZINC00002216	XEFQLINVKFYRCS-UHFFFAOYSA-N	Clc1ccc(c(c1)O)Oc1ccc(cc1Cl)Cl
121	ZINC00002264	HDOZVRUNCMBHFH-UHFFFAOYSA-O	Clc1ccc2c(c1)C(=Cc1c(S2)cccc1)OCC[NH+](C)C
122	ZINC00002272	DKYWVDODHFEZIM-LLVKDONJSA-M	[O-]C(=O)[C@@H](c1cccc(c1)C(=O)c1ccccc1)C
123	ZINC00002275	CBQGYUDMJHNJBX-RBUKOAKNSA-O	CCOc1ccccc1O[C@H](c1ccccc1)[C@H]1OCC[NH2+]C1
124	ZINC00002279	OZWKMVRBQXNZKK-LLVKDONJSA-M	[O-]C(=O)[C@@H]1CCn2c1ccc2C(=O)c1ccccc1
125	ZINC00002281	XWTYSIMOBUGWOL-LLVKDONJSA-O	O[C@@H](c1cc(O)cc(c1)O)C[NH2+]C(C)(C)C
126	ZINC00002284	CBQGYUDMJHNJBX-MOPGFXCFSA-O	CCOc1ccccc1O[C@@H](c1ccccc1)[C@@H]1OCC[NH2+]C1
127	ZINC00002365	XFJSSDHKIXXJLM-MRVPVSSYSA-O	C[NH+]1CCC=C2[C@H]1CCc1c2nc(s1)N
128	ZINC00002376	WJUGGKGTCAVATA-UHFFFAOYSA-P	C1CC[NH+](CC1)Cc1ccc(cc1)c1cc2ccccc2c2=[NH+]CCn12
129	ZINC00002433	JAQUASYNZVUNQP-XIRDDKMYSA-O	Oc1ccc2c(c1)[C@@]13CCCC[C@H]3[C@H](C2)[NH+](CC1)C
130	ZINC00002675	PYKJFEPAUKAXNN-UHFFFAOYSA-N	N
131	ZINC00002698	LUZIZYOYWXEFRG-UHFFFAOYSA-N	Sc1nccn1Cc1cccs1
132	ZINC00002748	RATZLMXRALDSJW-ZDUSSCGKSA-O	CC[C@]1(Cc2c(O1)cccc2)C1=[NH+]CCN1
133	ZINC00002775	KUXOYSZHUFZKHN-UHFFFAOYSA-M	N
134	ZINC00002779	BBFJODMCHICIAA-UHFFFAOYSA-M	O=Cc1cc(O)c(c(c1)[N+](=O)[O-])[O-]
135	ZINC00002845	DHCYTSABKOYFHB-CMDGGOBGSA-N	Cc1noc(c1)/C=C/c1cc(c(c(c1)C(C)(C)C)O)C(C)(C)C
136	ZINC00002850	XARSDFQMNNNPBL-PHDIDXHHSA-O	Nc1noc(n1)[C@@H]1C[NH+]2C[C@H]1CC2
137	ZINC00003106	MHJPVIGLQHLUFI-UHFFFAOYSA-N	COc1ccccc1n1c(C)nnc1c1ccc(cc1)c1ccccc1
138	ZINC00003189	BSMNRYCSBFHEMQ-KCJUWKMLSA-O	Clc1ccc(cc1Cl)[C@@]12C[NH2+]C[C@H]2C1
139	ZINC00003275	FRXXZKCFLLWYIW-UHFFFAOYSA-O	Nc1c2CCc3c(c2[nH+]c2c1cccc2)cccc3
140	ZINC00003709	XHYBFCBDMIPDON-UHFFFAOYSA-N	O=C1CCCN(N1)c1ccccc1
141	ZINC00003711	HLVVITIHAZBPKB-NSHDSACASA-O	O[C@H]1CCCc2c1c(N)c1c([nH+]2)cccc1
142	ZINC00003724	QCCHBHSAIQIQGO-UHFFFAOYSA-N	O=C1NC(=O)C2(N1)c1cc(F)ccc1c1c2cc(F)cc1
143	ZINC00003741	PQWGEDAZDHRHKD-UHFFFAOYSA-N	S=c1[nH]ccn1Cc1cscc1
144	ZINC00003742	OGJPXUAPXNRGGI-UHFFFAOYSA-N	CCn1cc(C(=O)[O-])c(=O)c2c1cc(N1CC[NH2+]CC1)c(c2)F
145	ZINC00003761	CLDJCRWXLDLJLO-AWEZNQCLSA-M	[O-]C(=O)CN1C(=S)[C@@H](Oc2c1cccc2C(C)C)C(C)C
146	ZINC00003767	DJEIHHYCDCTAAH-UHFFFAOYSA-M	COc1ccc(cc1)c1c(onc1c1ccc(cc1)OC)CC(=O)[O-]
147	ZINC00003803	VAZAPHZUAVEOMC-UHFFFAOYSA-N	CC(=O)Nc1ccc(cc1)C(=O)Nc1ccccc1N
148	ZINC00003876	ZAFYATHCZYHLPB-UHFFFAOYSA-N	Cc1ccc(cc1)c1nc2n(c1CC(=O)N(C)C)cc(cc2)C
149	ZINC00003897	DMJWENQHWZZWDF-PKOBYXMFSA-O	C[NH+]1CCc2c([C@@H]3[C@@H]1CCc1c3cccc1)cc(c(c2)Cl)O
150	ZINC00003911	JRWZLRBJNMZMFE-CYBMUJFWSA-O	Oc1ccc(cc1)CC[C@H]([NH2+]CCc1ccc(c(c1)O)O)C
151	ZINC00003941	WVVXBPKOIZGVNS-UHFFFAOYSA-N	CC(=O)NCCc1c(Cc2ccccc2)[nH]c2c1cccc2
152	ZINC00003961	FEROPKNOYKURCJ-CYBMUJFWSA-O	COc1cc(N)c(cc1C(=O)N[C@@H]1C[NH+]2CCC1CC2)Cl
153	ZINC00004009	RFHAOTPXVQNOHP-UHFFFAOYSA-N	Fc1ccc(c(c1)F)C(Cn1cncn1)(Cn1cncn1)O
154	ZINC00004028	KFQYTPMOWPVWEJ-INIZCTEOSA-O	CCC[NH+]([C@H]1CCc2c(C1)cccc2O)CCc1cccs1
155	ZINC00004035	NCNFDKWULDWJDS-OAHLLOKOSA-O	O=C1[C@H](CCc2c1c1cccc3c1n2CCC3)Cn1cc[nH+]c1C
156	ZINC00004041	GGUSQTSTQSHJAH-HXUWFJFHSA-O	Fc1ccc(cc1)CC1CC[NH+](CC1)C[C@H](c1ccc(cc1)Cl)O
157	ZINC00004076	AMKVXSZCKVJAGH-UHFFFAOYSA-O	CNS(=O)(=O)CCc1ccc2c(c1)c(c[nH]2)C1CC[NH+](CC1)C
158	ZINC00004085	CQGVAZZNWNPZBE-UHFFFAOYSA-N	S=c1[nH]ccn1CCc1cccs1
159	ZINC00004090	GSLWRDKYYIQKIM-TZMCWYRMSA-O	CCC[NH+]1CCC[C@H]2[C@H]1COc1c2cc(cc1)O
160	ZINC00004140	HDTOQYUZMCNTBZ-SNVBAGLBSA-O	C[NH+]1CCC2(CC1)CC(=C)[C@H](O2)C
